destination,avg_temp,budget,activities,spring_temp,summer_temp,fall_temp,winter_temp
Paris,15,100,Cultural,Relaxation,12,24,18,5
Tokyo,18,120,Adventure,Cultural,15,30,20,10
Bangkok,30,50,Adventure,Nature,28,34,30,25
New York,10,150,Cultural,Relaxation,13,28,18,-2
Los Angeles,20,200,Entertainment,Relaxation,18,30,25,15
Chicago,5,120,Cultural,Adventure,8,25,15,-5
Miami,25,180,Beach,Entertainment,22,32,28,18
Seattle,12,130,Adventure,Nature,10,22,16,3
San Francisco,14,160,Entertainment,Cultural,12,24,18,9
Las Vegas,22,250,Entertainment,Adventure,19,38,26,10
Denver,8,140,Adventure,Nature,6,28,14,-8
Austin,18,160,Music,Adventure,14,35,22,10
Boston,8,180,Cultural,Relaxation,7,22,16,-2
Washington, D.C.,12,170,Cultural,History,10,28,20,5
Portland,  OR, 11, 130, Nature, Adventure, 8, 22, 14, 2
Salt Lake City, 10, 140, Outdoor Activities, Adventure, 6, 32, 18, -4
Honolulu, 28, 250, Beach, Adventure, 27, 31, 28, 26
Nashville, 15, 160, Music, Cultural, 12, 28, 20, 5
London,14,110,Cultural,Shopping,10,22,16,3
Sydney,21,180,Beach,Adventure,18,25,22,13
Rome,17,130,Cultural,Relaxation,14,26,20,7
Dubai,26,200,Luxury,Shopping,24,38,30,19
Cairo,22,80,Historical,Nature,20,32,24,10
Cape Town,18,90,Adventure,Beach,17,25,19,11
Barcelona,20,120,Cultural,Beach,18,30,22,10
Moscow,-5,160,Historical,Nature,-8,-1,-3,-15
Los Angeles,19,150,Entertainment,Beach,17,29,22,14
Rio de Janeiro,25,120,Beach,Adventure,23,32,26,18
Istanbul,14,100,Cultural,Shopping,11,22,17,5
Lagos,28,70,Adventure,Nature,26,35,29,22
Berlin,12,110,Cultural,Historical,8,18,12,0
Toronto,7,140,Cultural,Shopping,4,22,13,-8
Singapore,28,100,Adventure,Cultural,27,32,30,24
Seoul,16,130,Adventure,Cultural,12,29,18,5
Bangkok,30,50,Adventure,Nature,28,34,30,25
Bali,28,80,Beach,Relaxation,27,32,30,25
Sydney,21,180,Beach,Adventure,18,25,22,13
Rome,17,130,Cultural,Relaxation,14,26,20,7
Dubai,26,200,Luxury,Shopping,24,38,30,19
Cairo,22,80,Historical,Nature,20,32,24,10
Cape Town,18,90,Adventure,Beach,17,25,19,11
Barcelona,20,120,Cultural,Beach,18,30,22,10
Moscow,-5,160,Historical,Nature,-8,-1,-3,-15
Los Angeles,19,150,Entertainment,Beach,17,29,22,14
Rio de Janeiro,25,120,Beach,Adventure,23,32,26,18
Istanbul,14,100,Cultural,Shopping,11,22,17,5
Lagos,28,70,Adventure,Nature,26,35,29,22
Berlin,12,110,Cultural,Historical,8,18,12,0
Toronto,7,140,Cultural,Shopping,4,22,13,-8
Singapore,28,100,Adventure,Cultural,27,32,30,24
Seoul,16,130,Adventure,Cultural,12,29,18,5
Bangkok,30,50,Adventure,Nature,28,34,30,25
Bali,28,80,Beach,Relaxation,27,32,30,25
Cape Cod,10,90,Relaxation,Beach,8,20,16,5
Athens,19,110,Cultural,Historical,16,29,22,12
Vancouver,9,140,Adventure,Nature,7,18,12,-5
Kuala Lumpur,27,80,Adventure,Cultural,26,32,29,24
Hawaii,25,200,Beach,Adventure,24,30,28,22
Helsinki,-3,120,Cultural,Relaxation,-7,-1,-3,-15
Zurich,9,150,Cultural,Shopping,6,18,12,-2
Seville,20,130,Cultural,Historical,17,32,25,11
Amsterdam,11,120,Cultural,Relaxation,9,20,14,2